pub_date	title	venue	citation	url_slug	paper_url	local_url
2018-10-18	A hybrid finite element‐spectral boundary integral approach: Applications to dynamic rupture modeling in unbounded domains	International Journal for Numerical and Analytical Methods in Geomechanics	Ma X, Hajarolasvadi S, Albertini G, Kammer D, Elbanna A. A hybrid finite element‐spectral boundary integral approach: Applications to dynamic rupture modeling in unbounded domains. Int J Numer Anal Methods Geomech. 2018;1‐22.	paper-title-number-1	https://onlinelibrary.wiley.com/doi/full/10.1002/nag.2865	https://xiaomaresearch.github.io/files/papers/Ma_hybrid_2018.pdf
2015-09-04	Effect of off-fault low-velocity elastic inclusions on supershear rupture dynamics	Geophysical Journal International	Ma, X., Elbanna, A. E. (2015). Effect of off-fault low-velocity elastic inclusions on supershear rupture dynamics. Geophysical journal international, 203(1), 664-677.	paper-title-number-2	https://academic.oup.com/gji/article/203/1/664/583536	https://xiaomaresearch.github.io/files/papers/ggv302.pdf
2018-08-28	Strain localization in dry sheared granular materials: A compactivity-based approach	PHYSICAL REVIEW E	Ma, Xiao, and Ahmed Elbanna. 2018. Strain localization in dry sheared granular materials: A compactivity-based approach. Physical Review E 98 (2): 022906.	paper-title-number-3	https://journals.aps.org/pre/abstract/10.1103/PhysRevE.98.022906	https://xiaomaresearch.github.io/files/papers/PhysRevE.98.022906.pdf




